"ADDR","S","Name","Temp Name","Desc","Init","0x080066c4","0x08004180","0x080067ce","0x080060ac","main_loop","func_xxxx"
"0x20001834","H","ROW1_BS","VAR_1834","the column'th bit is set when the key is pressed; cleared otherwise",,,,,,,
"0x20001836","H","ROW2_BS",,,,,,,,,
"0x20001838","H","ROW3_BS",,,,,,,,,
"0x2000183a","H","ROW4_BS",,,,,,,,,
"0x2000183c","H","ROW5_BS",,,,,,,,,
"0x2000183e","H",,"ROW1_BS_OLD",,,,,,,,
"0x20001840","H",,"ROW2_BS_OLD","set to Row_2_BitSet when RTYU pressed",,,,,,,
"0x20001842","H",,"ROW3_BS_OLD",,,,,,,,
"0x20001844","H",,"ROW4_BS_OLD",,,,,,,,
"0x20001846","H",,"ROW5_BS_OLD","set to the bitset of the ctrl combination (i.e 0x404). _Parse_Matrix",,,,,,,
"0x20001848","W",,"KEY_LAYOUT   ","0x20000000||3d8||468||4f8, USB UsageID codes array",,,,,,,
"0x2000184c","W",,"KEY_LAYOUT_FN","0x20000390||420||4b0||540, UsageID codes with Fn lock",,,,,,,
"0x20001850","B",,"MODIFIER_KEYCODE_BS","Fn active: mod key's bit cleared when key released; set otherwise",,,,,,,
"0x20001851","AS",,"REGULAR_KEYCODE_BS","Fn active: key's bit in byte (keycode/8) cleared when key released; set otherwise",,,,,,,
"0x2000186c","AE",,,,,,,,,,
"0x20001870","B",,"MODIFIER_KEYCODE_BS2","bit corresponding to mod key is cleared when key released; set otherwise",,,,,,,
,,,,,,,,,,,
"0x20001872","AE",,"KEYCODE_KRO","Fn active: 6 slots containing previously pressed keycodes",,,,,,,
"0x20001877","AS",,,,,,,,,,
"0x20001878","B",,"VOL_CTRL","1:up, 2:down, 4:mute",,,,,,,
"0x20001879","B",,"VOL_CTRL_MODE","1 if volume key codes detected, 0 otherwise",,,,,,,
"0x2000187a","B",,,"set to 1 @_Parse_Matrix when switching layouts",,,,,0,,
"0x2000187b","B",,"BLE_MODE","set when a number is pressed in BLE mode",,,,,0,,
"0x2000187c","B",,"LED_UPDATE","set to 1 @0x08006912 and @_Parse_Matrix when ctrl+ctrl+otherkey or RTYU or Fn+B or Esc/A in BLE pressed",,,,,,,
"0x2000187d","B",,"FN_ROW","init to row number-1 of Fn key",,,,,4,,
"0x2000187e","B",,"FN_COLUMN","init to column number-1 of Fn key",,,,,"0xb",,
"0x2000187f","B",,"ANNE_ROW","row number of anne key: 4+1 init_vars3",,,,,,,
"0x20001880","B",,"ANNE_COLUMN","column number of anne key: 0xc+1 init_vars3",,,,,,,
"0x20001881","B",,"WIN_LOCK_MODE","xor'd with 1 if meta key pressed",,,,,0,,
"0x20001882","B",,,,,,,,0,,
"0x20001883","B",,"FN_LOCK_MODE","updated when alt+alt pressed _Parse_Matrix: cycles 0,1 after each press",,,,,,,
"0x20001884","B",,,"Set to 1 when a macro is found",,,,,,,
,,,,,,,,,,,
"0x20001888","W",,,"set to macro's location: 0x20000edc,f70,1004,1098,112c,11c0,1254,12e8,137c,1410",,,,,,,
"0x2000188c","W",,"TIM4_C?","counter; checked against 0xea60 which is not a limit",,,,,0,,
"0x20001890","B",,,"set when ctrl+ctrl is detected @_Parse_Matrix",,,,,,,
"0x20001891","B",,"LAYOUT_SELECT_MODE","set when ctrl+ctrl is detected @_Parse_Matrix",,,,,,,
"0x20001892","B",,"TIM4_??","set when TIM4_C? reaches 0xea60 in int (60000); also set when ctrl+ctrl is detected @_Parse_Matrix",,,,,,,
"0x20001893","B",,,,,,,,,,
"0x20001894","B",,"TIM4_??",,,,,,,,
"0x20001895","B",,"TIM4_Flag_1","read in int: =1 if (PWR_SaveMode=0 && AUTO_PWROFF!=1) else 0",,,0,,1,,
"0x20001896","B","AUTO_PWROFF","FLAG_2","toggled when A pressed in BLE mode, 1:on, 0:off",,0,,,,,
"0x20001897","B",,"KEYBOARD_ACTIVE","flag set to 0 when keyboard idle",,,,,,,
"0x20001898","B",,,,,,,,,,
,,,,,,,,,,,
"0x2000189c","W",,,"current value of TIM4_IntCounter, updated @0x08008f1e",,,,,,,
"0x200018a0","W",,,"updated @0x08008f1e",,,,,,,
"0x200018a4","H",,"Struct_2->VAR_18a4","can be 0, 0x90, 0x92, 0xb3",,,,,,0,"0x92"
,,,,,,,,,,,
"0x200018a8","H",,"Struct_2",,,,,,,0,
,,,,,,,,,,,
"0x200018ac","H",,"Struct_2",,,,,,,0,
,,,,,,,,,,,
"0x200018b0","H",,"Struct_2",,,,,,,0,
,,,,,,,,,,,
"0x200018b4","H",,"Struct_2",,,,,,,0,
,,,,,,,,,,,
"0x200018b8","H",,"Struct_2",,,,,,,0,
,,,,,,,,,,,
"0x200018bc","H",,"Struct_2->VAR_18bc",,,,,,,0,
,,,,,,,,,,,
"0x200018c4","W",,,"0x20e (526) stored here @0x0800f1e",,,,,,,
,,,,,,,,,,,
"0x200018cc","AS",,,"Array cleared @0x0800855c",,,,,,,
"0x200018f2","AE",,,,,,,,,,
,,,,,,,,,,,
"0x200018f4","B","Information->USBbmRequestType",,,,,,,,,
"0x200018f5","B","Information->USBbRequest",,,,,,,,,
"0x200018f6","H","Information->USBwValues",,,,,,,,,
"0x200018f8","H","Information->USBwIndexs",,,,,,,,,
"0x200018fa","H","Information->USBwLengths",,,,,,,,,
"0x200018fc","B","pInformation->ControlState",,"set to 2 in USB_Init()",,,,,,,
"0x200018fd","B","Information->Current_Feature",,,,,,,,,
"0x200018fe","B","Information->Current_Configuration",,,,,,,,,
"0x200018ff","B","Information->Current_Interface",,,,,,,,,
"0x20001900","B","Information->Current_AlternateSetting",,,,,,,,,
"0x20001901","H","Information->Ctrl_Info->Usb_wLength",,,,,,,,,
"0x20001903","H","Information->Ctrl_Info->Usb_wOffset",,,,,,,,,
"0x20001905","H","Information->Ctrl_Info->PacketSize",,,,,,,,,
"0x20001907","H","Information->Ctrl_Info->??",,,,,,,,,
,,,,,,,,,,,
"0x20001910","W","pInformation",,"pointer to USB struct Device_Info @0x200018f4",,,,,,,
"0x20001914","W","pProperty",,"pointer to USB struct Device_Property @0x200005f8",,,,,,,
"0x20001918","W","pUser_Standard_Requests",,"pointer to USB struct User_Standard_Requests @0x20000650",,,,,,,
,,,,,,,,,,,
"0x2000192c","B",,"BLE_HOST_ID","set to the BLE pairing number to use when in BLE mode and a number is pressed",,,,,,,
,,,,,,,,,,,
"0x20001938","AS",,,"Array cleared @0x0800855c",,,,,,,
"0x20001942","AE",,,,,,,,,,
"0x20001944","AS",,,"Array cleared @0x0800855c",,,,,,,
"0x2000194e","AE",,,,,,,,,,
,,,,,,,,,,,
"0x20001950","AS",,"KEYPOS_BS","key's bit in pos%8 set when pressed. data that will be sent to LED MCU @0x08005468",,,,,,,
"0x20001959","AE",,,,,,,,,,
,,,,,,,,,,,
"0x2000195e","H",,,,,,,,,,
,,,,,,,,,,,
"0x20001968","W",,,"TIM4_IntCounter stored here @0x08008f1e",,,,,,,
"0x2000196c","W",,,"0x1388 (5000) stored here @0x08008f1e",,,,,,,
,,,,,,,,,,,
"0x20001974","W",,,,,,,,,,
,,,,,,,,,,,
"0x20001984","H",,,,,,,,,,
"0x20001988","W",,,,,,,,,,
"0x2000198c","W","bDeviceState",,"in USB_Port_Init()",,,,,,,
"0x20001990","H","wInterrupt_Mask",,"in USB_SIL_Init (0xbf00)",,,,,,,
,,,,,,,,,,,
"0x20001994","B",,,"flag set when arrays cleard @0x0800855c",,,,,,,
"0x20001995","B",,,"incremented when Row_X_BitSet != Row_X_BitSet2 @_Parse_Matrix",,,,,,,
"0x20001996","B",,,,,,,,,,
"0x20001997","B",,,,,,,,,,
